expert_original,simple_original,e_to_s,restored_telugu,direct_telugu,lay_telugu,restored_hindi,direct_hindi,lay_hindi
75-90 % of the affected people have mild intellectual disability.,People with syndromic intellectual disabilities may have a `` typical look. '',75-90 % of the affected people have mild intellectual disability.,75-90 % ప్రభావిత వ్యక్తులలో తేలికపాటి మేధో వైకల్యం ఉంది.,సిండ్రోమిక్ మేధో వైకల్యాలున్న వ్యక్తులు `` విలక్షణమైన రూపాన్ని కలిగి ఉండవచ్చు. '',ప్రభావిత వ్యక్తులలో 75-90% మంది తేలికపాటి మేధో వైకల్యాన్ని కలిగి ఉన్నారు.,प्रभावित लोगों में से 75-90 % में हल्की बौद्धिक विकलांगता है।,सिन्ड्रोमिक बौद्धिक विकलांगता वाले लोगों का लुक `` विशिष्ट हो सकता है। '',प्रभावित लोगों में से 75-90% लोगों में हल्की बौद्धिक विकलांगता होती है।
75-90 % of the affected people have mild intellectual disability.,People with syndromic intellectual disabilities may have a `` typical look. '',75-90 % of the affected people have mild intellectual disability.,75-90 % ప్రభావిత వ్యక్తులలో తేలికపాటి మేధో వైకల్యం ఉంది.,సిండ్రోమిక్ మేధో వైకల్యాలున్న వ్యక్తులు `` విలక్షణమైన రూపాన్ని కలిగి ఉండవచ్చు. '',ప్రభావిత వ్యక్తులలో 75-90% మంది తేలికపాటి మేధో వైకల్యాన్ని కలిగి ఉన్నారు.,75-90 % प्रभावित लोगों में हल्की बौद्धिक विकलांगता है।,सिन्ड्रोमिक बौद्धिक विकलांगता वाले लोगों का लुक `` विशिष्ट हो सकता है। '',प्रभावित लोगों में से 75-90% लोगों में हल्की बौद्धिक विकलांगता होती है।
"A bandlike tightness around the chest or abdomen, weakness, tingling, numbness of the feet and legs, and difficulty voiding develop over hours to a few days.","Within hours to a few days, tingling, numbness, and muscle weakness develop in the feet and move upward. Urinating becomes difficult, although some people feel an urgent need to urinate (urgency).","""Someone might feel their chest or belly, have weak feelings, some tingling or numbness on their feet and legs, and be unable to go toilet for a few days.""","ఛాతీ లేదా పొత్తికడుపు చుట్టూ బ్యాండ్‌లాగా బిగుతుగా ఉండటం, బలహీనత, జలదరింపు, పాదాలు మరియు కాళ్లు తిమ్మిరి, మరియు శూన్యత వంటి సమస్యలు గంటల నుండి కొన్ని రోజుల వరకు అభివృద్ధి చెందుతాయి.","గంటల నుండి కొన్ని రోజులలో, పాదాలలో జలదరింపు, తిమ్మిరి మరియు కండరాల బలహీనత అభివృద్ధి చెందుతాయి మరియు పైకి కదులుతాయి. మూత్రవిసర్జన చేయడం కష్టంగా మారుతుంది, అయితే కొంతమందికి అత్యవసరంగా మూత్ర విసర్జన చేయవలసి ఉంటుంది (అత్యవసరం).","""ఎవరైనా వారి ఛాతీ లేదా బొడ్డు అనుభూతి చెందవచ్చు, బలహీనమైన భావాలను కలిగి ఉండవచ్చు, వారి పాదాలు మరియు కాళ్ళపై కొంత జలదరింపు లేదా తిమ్మిరి ఉండవచ్చు మరియు కొన్ని రోజులు టాయిలెట్‌కు వెళ్లలేకపోవచ్చు.""","छाती या पेट के चारों ओर बैंड जैसी जकड़न, कमजोरी, झुनझुनी, पैरों और टाँगों का सुन्न होना और मलत्याग में कठिनाई कुछ घंटों से लेकर कुछ दिनों तक विकसित होती है।","कुछ घंटों से लेकर कुछ दिनों के भीतर, पैरों में झुनझुनी, सुन्नता और मांसपेशियों में कमजोरी विकसित हो जाती है और ऊपर की ओर बढ़ने लगती है। पेशाब करना कठिन हो जाता है, हालाँकि कुछ लोगों को पेशाब करने की तत्काल आवश्यकता महसूस होती है।","""किसी को अपनी छाती या पेट में दर्द हो सकता है, कमजोरी महसूस हो सकती है, पैरों और टाँगों में कुछ झुनझुनी या सुन्नता हो सकती है, और कुछ दिनों तक शौचालय जाने में असमर्थ हो सकता है।"""
A disrupted ossicular chain may be repaired during tympanoplasty as well.,"If the ossicles have been damaged, they may be repaired at the same time.","""Ossicles"" are small bones in the ear that can get hurt. Sometimes doctors fix broken ossicles during surgery called tympanoplasty.

Original: The risk of complications such as hearing loss, meningitis, or infection is high.
Simplified: ""Complications"" are things that might happen after the surgery, like being deaf, having meningitis (a brain problem), or getting sick. These risks are higher than with other procedures.",టింపనోప్లాస్టీ సమయంలో కూడా అంతరాయం కలిగించిన ఓసిక్యులర్ గొలుసు మరమ్మతులు చేయబడవచ్చు.,"ఒసికిల్స్ దెబ్బతిన్నట్లయితే, అవి అదే సమయంలో మరమ్మత్తు చేయబడవచ్చు.","""ఓసికిల్స్"" అనేది చెవిలో చిన్న ఎముకలు, ఇవి గాయపడగలవు. కొన్నిసార్లు వైద్యులు టింపనోప్లాస్టీ అని పిలిచే శస్త్రచికిత్స సమయంలో విరిగిన ఎముకలను సరిచేస్తారు.

అసలైనది: వినికిడి లోపం, మెనింజైటిస్ లేదా ఇన్ఫెక్షన్ వంటి సమస్యల ప్రమాదం ఎక్కువగా ఉంటుంది.
సరళీకృతం: ""సమస్యలు"" అనేది శస్త్రచికిత్స తర్వాత జరిగే విషయాలు, చెవుడు, మెనింజైటిస్ (మెదడు సమస్య) లేదా అనారోగ్యం వంటివి. ఈ ప్రమాదాలు ఇతర విధానాలతో పోలిస్తే ఎక్కువ.",टाइम्पेनोप्लास्टी के दौरान भी एक बाधित अस्थि श्रृंखला की मरम्मत की जा सकती है।,"यदि अस्थि-पंजर क्षतिग्रस्त हो गए हैं, तो उन्हें उसी समय ठीक किया जा सकता है।","""ऑस्कल्स"" कान की छोटी हड्डियाँ होती हैं जिन पर चोट लग सकती है। कभी-कभी डॉक्टर टाइम्पेनोप्लास्टी नामक सर्जरी के दौरान टूटी हड्डियों को ठीक करते हैं।

मूल: श्रवण हानि, मेनिनजाइटिस या संक्रमण जैसी जटिलताओं का जोखिम अधिक है।
सरलीकृत: ""जटिलताएं"" वे चीजें हैं जो सर्जरी के बाद हो सकती हैं, जैसे बहरा होना, मेनिनजाइटिस (मस्तिष्क की समस्या) होना, या बीमार पड़ना। ये जोखिम अन्य प्रक्रियाओं की तुलना में अधिक हैं।"
"A posterior subcapsular cataract disproportionately affects vision because the opacity is located at the crossing point of incoming light rays. Such cataracts reduce visual acuity more when the pupil constricts (eg, in bright light, during reading). They are also the type most likely to cause loss of contrast as well as glare (halos and starbursts around lights), especially from bright lights or from car headlights while driving at night.","With a cataract near the back of the lens (posterior subcapsular cataract), the following symptoms are most common: Blurred vision (less visual acuity) when the pupil constricts (for example, in bright light or during reading); Loss of contrast; Halos and starbursts (glare) from bright lights or car headlights while driving at night.","A cataract in the back part of your eye, near the crossing point where light enters, makes vision less clear. It's harder for you to see things in the dark, and there may be halos around lights.","పృష్ఠ సబ్‌క్యాప్సులర్ కంటిశుక్లం దృష్టిని అసమానంగా ప్రభావితం చేస్తుంది ఎందుకంటే అస్పష్టత ఇన్‌కమింగ్ కాంతి కిరణాల క్రాసింగ్ పాయింట్ వద్ద ఉంది. ఇటువంటి కంటిశుక్లం విద్యార్థి సంకోచించినప్పుడు (ఉదా, ప్రకాశవంతమైన కాంతిలో, చదివేటప్పుడు) దృష్టి తీక్షణతను మరింత తగ్గిస్తుంది. అవి కాంట్రాస్ట్‌ను అలాగే గ్లేర్‌ను (లైట్ల చుట్టూ ఉన్న హాలోస్ మరియు స్టార్‌బర్స్ట్‌లు), ముఖ్యంగా ప్రకాశవంతమైన లైట్ల నుండి లేదా రాత్రి సమయంలో డ్రైవింగ్ చేస్తున్నప్పుడు కారు హెడ్‌లైట్‌ల నుండి ఎక్కువగా కోల్పోయే రకం.","లెన్స్ వెనుక (పృష్ఠ సబ్‌క్యాప్సులర్ కంటిశుక్లం) దగ్గర కంటిశుక్లం ఉంటే, ఈ క్రింది లక్షణాలు సర్వసాధారణంగా కనిపిస్తాయి: విద్యార్థి ముడుచుకున్నప్పుడు (ఉదాహరణకు, ప్రకాశవంతమైన కాంతిలో లేదా చదివేటప్పుడు) అస్పష్టమైన దృష్టి (తక్కువ దృష్టి తీక్షణత); కాంట్రాస్ట్ కోల్పోవడం; రాత్రి సమయంలో డ్రైవింగ్ చేస్తున్నప్పుడు ప్రకాశవంతమైన లైట్లు లేదా కారు హెడ్‌లైట్‌ల నుండి హాలోస్ మరియు స్టార్‌బర్స్ట్‌లు (గ్లేర్).",కాంతి ప్రవేశించే క్రాసింగ్ పాయింట్ దగ్గర మీ కంటి వెనుక భాగంలో ఉన్న కంటిశుక్లం దృష్టిని తక్కువ స్పష్టంగా చేస్తుంది. చీకటిలో వస్తువులను చూడటం మీకు కష్టంగా ఉంటుంది మరియు లైట్ల చుట్టూ హాలోస్ ఉండవచ్చు.,"पोस्टीरियर सबकैप्सुलर मोतियाबिंद दृष्टि को असंगत रूप से प्रभावित करता है क्योंकि अपारदर्शिता आने वाली प्रकाश किरणों के क्रॉसिंग बिंदु पर स्थित होती है। ऐसे मोतियाबिंद से दृश्य तीक्ष्णता अधिक कम हो जाती है जब पुतली सिकुड़ जाती है (उदाहरण के लिए, तेज रोशनी में, पढ़ने के दौरान)। वे ऐसे प्रकार हैं जो कंट्रास्ट के साथ-साथ चकाचौंध (रोशनी के चारों ओर प्रभामंडल और तारे का विस्फोट) के नुकसान का कारण बनने की सबसे अधिक संभावना रखते हैं, खासकर रात में गाड़ी चलाते समय चमकदार रोशनी से या कार की हेडलाइट से।","लेंस के पीछे मोतियाबिंद (पोस्टीरियर सबकैप्सुलर मोतियाबिंद) के साथ, निम्नलिखित लक्षण सबसे आम हैं: धुंधली दृष्टि (कम दृश्य तीक्ष्णता) जब पुतली सिकुड़ जाती है (उदाहरण के लिए, तेज रोशनी में या पढ़ने के दौरान); कंट्रास्ट का नुकसान; रात में गाड़ी चलाते समय चमकदार रोशनी या कार हेडलाइट्स से हेलो और स्टारबर्स्ट (चमक)।","आपकी आंख के पिछले हिस्से में, क्रॉसिंग पॉइंट के पास जहां प्रकाश प्रवेश करता है, मोतियाबिंद होने से दृष्टि कम स्पष्ट हो जाती है। आपके लिए अंधेरे में चीज़ों को देखना कठिन होता है, और रोशनी के चारों ओर प्रभामंडल हो सकता है।"
Abdominal pain (usually starting in one quadrant and spreading to the whole abdomen) occurs in about 95 % of patients and can vary in severity with each attack.,"The pain usually starts in one part of the abdomen, then spreads throughout the entire abdomen. The severity of the pain may vary with each attack.","""Abdominal pain"" usually starts in one place and spreads all over your belly. About 95% people have this problem.",పొత్తికడుపు నొప్పి (సాధారణంగా ఒక క్వాడ్రంట్‌లో మొదలై పొత్తికడుపు మొత్తానికి వ్యాపిస్తుంది) దాదాపు [ENTITY_6ec2f9a13db] % రోగులలో సంభవిస్తుంది మరియు ప్రతి దాడిని బట్టి తీవ్రత మారవచ్చు.,"నొప్పి సాధారణంగా పొత్తికడుపులో ఒక భాగంలో మొదలవుతుంది, తర్వాత మొత్తం పొత్తికడుపు అంతటా వ్యాపిస్తుంది. ప్రతి దాడితో నొప్పి యొక్క తీవ్రత మారవచ్చు.","""కడుపు నొప్పి"" సాధారణంగా ఒకే చోట ప్రారంభమవుతుంది మరియు మీ బొడ్డు అంతటా వ్యాపిస్తుంది. దాదాపు 95% మందికి ఈ సమస్య ఉంది.",पेट में दर्द (आमतौर पर एक चतुर्थ भाग में शुरू होता है और पूरे पेट तक फैलता है) लगभग 95 % रोगियों में होता है और प्रत्येक हमले के साथ गंभीरता में भिन्न हो सकता है।,"दर्द आमतौर पर पेट के एक हिस्से में शुरू होता है, फिर पूरे पेट में फैल जाता है। दर्द की गंभीरता प्रत्येक हमले के साथ भिन्न हो सकती है।","""पेट दर्द"" आमतौर पर एक ही स्थान से शुरू होता है और आपके पूरे पेट में फैल जाता है। लगभग 95% लोगों को यह समस्या है।"
About 25 % of men have minimal symptoms.,Some men (about 25 %) have minimal symptoms.,About 25 % of men have minimal symptoms.,దాదాపు 25 మంది % పురుషులు తక్కువ లక్షణాలను కలిగి ఉన్నారు.,కొంతమంది పురుషులు (సుమారు 25%) తక్కువ లక్షణాలను కలిగి ఉంటారు.,దాదాపు 25% మంది పురుషులు తక్కువ లక్షణాలను కలిగి ఉంటారు.,लगभग 25 % पुरुषों में न्यूनतम लक्षण हैं।,कुछ पुरुषों (लगभग 25%) में न्यूनतम लक्षण होते हैं।,लगभग 25% पुरुषों में न्यूनतम लक्षण होते हैं।
"About 50 % of patients report constitutional symptoms such as fever, malaise, night sweats, weight loss, fatigue, and/or arthralgias.","Sometimes the disorder begins with fever, muscle and joint aches, loss of appetite, weight loss, and night sweats.","About half of people feel stuffy, have aches, or feel tired.

Original: Blood tests to evaluate thyroid function
Simplified: Tests to see how your body makes","దాదాపు 50 % రోగులు జ్వరం, అనారోగ్యం, రాత్రి చెమటలు, బరువు తగ్గడం, అలసట మరియు/లేదా కీళ్ల నొప్పులు వంటి రాజ్యాంగపరమైన లక్షణాలను నివేదించారు.","కొన్నిసార్లు రుగ్మత జ్వరం, కండరాలు మరియు కీళ్ల నొప్పులు, ఆకలి లేకపోవడం, బరువు తగ్గడం మరియు రాత్రి చెమటలతో ప్రారంభమవుతుంది.","దాదాపు సగం మంది వ్యక్తులు ఉబ్బినట్లు, నొప్పులు లేదా అలసటతో బాధపడుతున్నారు.

అసలు: థైరాయిడ్ పనితీరును అంచనా వేయడానికి రక్త పరీక్షలు
సరళీకృతం: మీ శరీరం ఎలా తయారవుతుందో తెలుసుకోవడానికి పరీక్షలు","लगभग 50 % मरीज बुखार, अस्वस्थता, रात को पसीना, वजन कम होना, थकान और/या गठिया जैसे संवैधानिक लक्षणों की रिपोर्ट करते हैं।","कभी-कभी विकार की शुरुआत बुखार, मांसपेशियों और जोड़ों में दर्द, भूख न लगना, वजन कम होना और रात को पसीना आने से होती है।","लगभग आधे लोगों को घुटन महसूस होती है, दर्द होता है, या थकान महसूस होती है।

मूल: थायरॉइड फ़ंक्शन का मूल्यांकन करने के लिए रक्त परीक्षण
सरलीकृत: यह देखने के लिए परीक्षण कि आपका शरीर कैसा बनाता है"
Adult patients who require parenteral support may benefit from teduglutide (a glucagon-like peptide-2 [ GLP-2 ] analog). The recommended dosage is 0.05 mg/kg body weight sc once/ day.,People who need TPN may be given injections of a drug called teduglutide. This drug may help reduce the amount of TPN people need.,"""For people who need medicine inside their bodies, teduglutide might help with dosing instructions of 0.05 mg/kg body weight, once/day.""",పేరెంటరల్ మద్దతు అవసరమయ్యే వయోజన రోగులు teduglutide (గ్లూకాగాన్ లాంటి పెప్టైడ్-2 [GLP-2] అనలాగ్) నుండి ప్రయోజనం పొందవచ్చు. సిఫార్సు చేయబడిన మోతాదు 0.05 mg/kg శరీర బరువు sc రోజుకు ఒకసారి.,TPN అవసరమైన వ్యక్తులు టెడుగ్లుటైడ్ అనే మందు యొక్క ఇంజెక్షన్లను ఇవ్వవచ్చు. ఈ ఔషధం ప్రజలకు అవసరమైన TPN మొత్తాన్ని తగ్గించడంలో సహాయపడవచ్చు.,"""వారి శరీరంలో ఔషధం అవసరమయ్యే వ్యక్తుల కోసం, టెడుగ్లుటైడ్ 0.05 mg/kg శరీర బరువు, ఒకసారి/రోజుకు మోతాదు సూచనలతో సహాయపడుతుంది.""","जिन वयस्क रोगियों को पैरेंट्रल सपोर्ट की आवश्यकता होती है, उन्हें teduglutide (एक ग्लूकागन जैसा पेप्टाइड-2 [ GLP-2 ] एनालॉग) से लाभ हो सकता है। अनुशंसित खुराक है 0.05 mg/kg शरीर का वजन प्रति दिन एक बार।",जिन लोगों को टीपीएन की आवश्यकता होती है उन्हें टेडुग्लूटाइड नामक दवा के इंजेक्शन दिए जा सकते हैं। यह दवा लोगों को आवश्यक टीपीएन की मात्रा को कम करने में मदद कर सकती है।,"""जिन लोगों को अपने शरीर के अंदर दवा की आवश्यकता होती है, उनके लिए टेडुग्लूटाइड दिन में एक बार 0.05 मिलीग्राम/किलोग्राम शरीर के वजन के खुराक निर्देशों से मदद कर सकता है।"""
"Advanced asbestosis may cause clubbing, dry bibasilar crackles, and, in severe cases, symptoms and signs of right ventricular failure (cor pulmonale).","Clubbing is enlargement of the tips of the fingers or toes and a change in the angle where the nails emerge. If the lungs are severely damaged, the heart may become strained, causing a type of heart failure (cor pulmonale).","Advanced asbestosis causes clubbing, dry bibasilar crackles, and, possibly, heart problems.
Original: The patient is experiencing severe abdominal pain and has been referred to an emergency department.
Simplified: Patient feels belly hurt and goes to hospital.

Original: Ossicles are small bones in the ear that help with balance and hearing.
Simplified: Small bones in the ear help with balance and hearing.

Original: A person's genetic makeup can influence how they respond to certain medications.
Simplified: People have different ways their body reacts to medicines.

Original: High blood pressure is a condition where the walls of the blood vessels become thick.
Simplified: Blood vessel walls get bigger because blood flows faster.

Original: Chronic stress can cause the release of hormones called ""stress hormones,"" which can lead to physical symptoms such as headaches and muscle tension.
Simplified: Stress makes you feel bad by making your muscles and headache muscles work harder.

Original: Severe allergic reactions can cause symptoms such","అధునాతన ఆస్బెస్టాసిస్ క్లబ్‌బింగ్, డ్రై బిబాసిలర్ క్రాక్‌లు మరియు తీవ్రమైన సందర్భాల్లో, కుడి జఠరిక వైఫల్యం (కోర్ పల్మోనాలే) యొక్క లక్షణాలు మరియు సంకేతాలకు కారణం కావచ్చు.","క్లబ్బింగ్ అనేది వేళ్లు లేదా కాలి యొక్క చిట్కాలను విస్తరించడం మరియు గోర్లు ఉద్భవించే కోణంలో మార్పు. ఊపిరితిత్తులు తీవ్రంగా దెబ్బతిన్నట్లయితే, గుండె ఒత్తిడికి గురవుతుంది, దీని వలన ఒక రకమైన గుండె వైఫల్యం (కోర్ పల్మోనాల్) వస్తుంది.","అధునాతన ఆస్బెస్టాసిస్ క్లబ్బింగ్, డ్రై బైబాసిలార్ క్రాకల్స్ మరియు, బహుశా, గుండె సమస్యలను కలిగిస్తుంది.
అసలైనది: రోగి తీవ్రమైన కడుపు నొప్పిని ఎదుర్కొంటున్నాడు మరియు అత్యవసర విభాగానికి సూచించబడ్డాడు.
సరళీకృతం: రోగి కడుపు నొప్పిగా భావించి ఆసుపత్రికి వెళ్తాడు.

ఒరిజినల్: ఓసికిల్స్ అనేది చెవిలోని చిన్న ఎముకలు, ఇవి సమతుల్యత మరియు వినికిడితో సహాయపడతాయి.
సరళీకృతం: చెవిలోని చిన్న ఎముకలు సమతుల్యత మరియు వినికిడితో సహాయపడతాయి.

అసలైనది: ఒక వ్యక్తి యొక్క జన్యు అలంకరణ వారు కొన్ని మందులకు ఎలా స్పందిస్తారో ప్రభావితం చేయవచ్చు.
సరళీకృతం: ప్రజలు ఔషధాలకు వారి శరీరం ప్రతిస్పందించే వివిధ మార్గాలను కలిగి ఉంటారు.

అసలు: అధిక రక్తపోటు అనేది రక్త నాళాల గోడలు మందంగా మారే పరిస్థితి.
సరళీకృతం: రక్తం వేగంగా ప్రవహిస్తుంది కాబట్టి రక్తనాళాల గోడలు పెద్దవి అవుతాయి.

అసలైనది: దీర్ఘకాలిక ఒత్తిడి ""ఒత్తిడి హార్మోన్లు"" అని పిలువబడే హార్మోన్ల విడుదలకు కారణమవుతుంది, ఇది తలనొప్పి మరియు కండరాల ఒత్తిడి వంటి శారీరక లక్షణాలకు దారితీస్తుంది.
సరళీకృతం: మీ కండరాలు మరియు తలనొప్పి కండరాలు కష్టపడి పనిచేయడం ద్వారా ఒత్తిడి మీకు చెడుగా అనిపిస్తుంది.

అసలైనది: తీవ్రమైన అలెర్జీ ప్రతిచర్యలు అటువంటి లక్షణాలను కలిగిస్తాయి","उन्नत एस्बेस्टॉसिस के कारण क्लबिंग, सूखी बिबैसिलर दरारें और, गंभीर मामलों में, दाएं वेंट्रिकुलर विफलता (कोर पल्मोनेल) के लक्षण और संकेत हो सकते हैं।","क्लबिंग उंगलियों या पैर की उंगलियों की युक्तियों का विस्तार है और उस कोण में बदलाव है जहां नाखून निकलते हैं। यदि फेफड़े गंभीर रूप से क्षतिग्रस्त हो जाते हैं, तो हृदय पर दबाव पड़ सकता है, जिससे एक प्रकार की हृदय विफलता (कोर पल्मोनेल) हो सकती है।","उन्नत एस्बेस्टॉसिस के कारण क्लबिंग, सूखी बाइबेसिलर दरारें और, संभवतः, हृदय संबंधी समस्याएं होती हैं।
मूल: रोगी को पेट में गंभीर दर्द हो रहा है और उसे आपातकालीन विभाग में रेफर किया गया है।
सरलीकृत: रोगी को पेट में दर्द महसूस होता है और वह अस्पताल जाता है।

मूल: ओस्सिकल्स कान में छोटी हड्डियाँ होती हैं जो संतुलन और सुनने में मदद करती हैं।
सरलीकृत: कान की छोटी हड्डियाँ संतुलन और सुनने में मदद करती हैं।

मूल: किसी व्यक्ति की आनुवंशिक संरचना इस बात को प्रभावित कर सकती है कि वह कुछ दवाओं पर कैसे प्रतिक्रिया करता है।
सरलीकृत: लोगों का शरीर दवाओं के प्रति अलग-अलग तरह से प्रतिक्रिया करता है।

मूल: उच्च रक्तचाप एक ऐसी स्थिति है जहां रक्त वाहिकाओं की दीवारें मोटी हो जाती हैं।
सरलीकृत: रक्त वाहिका की दीवारें बड़ी हो जाती हैं क्योंकि रक्त तेजी से बहता है।

मूल: दीर्घकालिक तनाव ""तनाव हार्मोन"" नामक हार्मोन के स्राव का कारण बन सकता है, जिससे सिरदर्द और मांसपेशियों में तनाव जैसे शारीरिक लक्षण हो सकते हैं।
सरलीकृत: तनाव आपकी मांसपेशियों और सिरदर्द की मांसपेशियों को अधिक मेहनत करवाकर आपको बुरा महसूस कराता है।

मूल: गंभीर एलर्जी प्रतिक्रियाओं के कारण ऐसे लक्षण हो सकते हैं"
